Tm,Year,#Bat,BatAge,G,PA,AB,R/G,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,#P,PAge,RA/G,ERA,GF,CG,tSho,cSho,SV,IP,H_P,R,ER,HR_P,BB_P,IBB_P,SO_P,HBP_P,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_P,#Fld,RA/G_F,DefEff,GS,CG_F,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,BPF,PPF,#a-tA-S,1Run,Under500,SOS,W-L%
Kansas City Royals,1972,34,27.7,154,37.98051948,33.55194805,3.77,8.551948052,1.428571429,0.168831169,0.506493506,3.551948052,0.551948052,0.285714286,3.467532468,4.616883117,0.255,0.327,0.353,0.679,104,11.83766234,0.87012987,0.220779221,0.467532468,0.246753247,0.37012987,7.25974026,15,27.4,3.54,3.24,0.714285714,0.285714286,16,14,0.181818182,8.968181818,8.396103896,3.538961039,3.227272727,0.551948052,2.62987013,0.214285714,5.201298701,0.194805195,0.019480519,0.24025974,37,93,2.98,1.229,8.4,0.6,2.6,5.2,1.98,6.551948052,34,3.54,0.707,9,7.402597403,80.72077922,39.05844156,26.88311688,11.42207792,0.753246753,1.064935065,0.981,-16,-2,99,98,10,0.415,0.344,0,0.494
Los Angeles Dodgers,1972,36,28.5,155,38.09032258,34,3.77,8.703225806,1.148387097,0.251612903,0.632258065,3.503225806,0.529032258,0.251612903,3.096774194,5.070967742,0.256,0.319,0.36,0.679,95,12.2516129,0.780645161,0.15483871,0.574193548,0.258064516,0.341935484,7.251612903,14,30.3,3.4,2.78,0.677419355,0.322580645,23,21,0.187096774,9.051612903,7.716129032,3.4,2.8,0.535483871,2.767741935,0.232258065,5.522580645,0.219354839,0.019354839,0.277419355,37.38709677,121,2.94,1.158,7.7,0.5,2.8,5.5,2,6.832258065,36,3.4,0.721,9,7.303225806,81.46451613,39.8516129,27.15483871,11.6516129,1.04516129,0.935483871,0.974,9,1,98,97,23,0.481,0.561,0,0.548
Milwaukee Brewers,1972,35,26.6,156,36.75,32.84615385,3.16,7.717948718,1.070512821,0.141025641,0.564102564,2.955128205,0.41025641,0.365384615,3.025641026,5.564102564,0.235,0.302,0.328,0.629,90,10.76282051,0.923076923,0.185897436,0.5,0.192307692,0.269230769,6.608974359,14,25.9,3.81,3.45,0.762820513,0.237179487,14,10,0.205128205,8.917948718,8.262820513,3.814102564,3.423076923,0.743589744,3.115384615,0.525641026,4.743589744,0.211538462,0.006410256,0.262820513,37.54487179,88,3.54,1.275,8.3,0.8,3.1,4.8,1.52,6.967948718,35,3.81,0.718,9,7.051282051,80.28846154,37.92307692,26.76282051,10.26923077,0.891025641,0.929487179,0.977,30,3,87,98,9,0.37,0.327,0.1,0.417
Minnesota Twins,1972,33,27.3,154,37.97402597,33.98701299,3.49,8.292207792,1.181818182,0.201298701,0.603896104,3.285714286,0.344155844,0.266233766,3.103896104,5.876623377,0.244,0.31,0.344,0.654,91,11.68831169,0.837662338,0.227272727,0.474025974,0.181818182,0.344155844,7.123376623,12,26.9,3.47,2.84,0.75974026,0.24025974,17,11,0.220779221,9.085064935,7.714285714,3.474025974,2.863636364,0.681818182,2.883116883,0.272727273,5.441558442,0.24025974,0.032467532,0.168831169,37.33766234,113,3.21,1.166,7.6,0.7,2.9,5.4,1.89,6.61038961,33,3.47,0.725,9,6.675324675,81.77922078,39.52597403,27.25974026,11.23376623,1.032467532,0.863636364,0.974,59,6,105,105,7,0.536,0.487,0,0.5
Montreal Expos,1972,30,26.9,156,37.30769231,33.05128205,3.29,7.724358974,1,0.141025641,0.583333333,2.961538462,0.435897436,0.423076923,3.038461538,5.307692308,0.234,0.303,0.325,0.628,78,10.75641026,0.615384615,0.314102564,0.692307692,0.192307692,0.352564103,6.91025641,12,25.9,3.9,3.59,0.75,0.25,11,10,0.147435897,8.981410256,8.211538462,3.903846154,3.583333333,0.66025641,3.711538462,0.384615385,5.692307692,0.166666667,0.051282051,0.301282051,37.91025641,98,3.38,1.327,8.2,0.7,3.7,5.7,1.53,7.057692308,30,3.9,0.708,9,6.756410256,80.8974359,39.27564103,26.94871795,11.46794872,0.858974359,0.903846154,0.978,23,2,101,102,7,0.538,0.442,0.1,0.449
New York Mets,1972,34,27.3,156,37.71153846,32.91666667,3.38,7.397435897,1.121794872,0.198717949,0.673076923,3.141025641,0.262820513,0.262820513,3.775641026,6.346153846,0.225,0.307,0.332,0.639,84,10.93589744,0.814102564,0.217948718,0.551282051,0.25,0.448717949,7.185897436,14,26.1,3.71,3.26,0.794871795,0.205128205,12,8,0.262820513,9.065384615,8.096153846,3.705128205,3.288461538,0.756410256,3.115384615,0.403846154,6.788461538,0.192307692,0.012820513,0.33974359,37.80128205,103,3.08,1.236,8,0.8,3.1,6.7,2.18,6.891025641,34,3.71,0.71,9,7.301282051,81.61538462,37.81410256,27.20512821,9.865384615,0.743589744,0.782051282,0.98,-54,-5,97,97,13,0.688,0.564,0,0.532
New York Yankees,1972,36,28.8,155,37.38709677,33.34193548,3.59,8.309677419,1.303225806,0.15483871,0.664516129,3.393548387,0.458064516,0.270967742,3.167741935,4.44516129,0.249,0.316,0.357,0.674,103,11.91612903,0.722580645,0.187096774,0.477419355,0.2,0.303225806,7.2,18,28.1,3.4,3.05,0.774193548,0.225806452,19,14,0.251612903,8.858709677,8.425806452,3.4,3,0.561290323,2.703225806,0.393548387,4.032258065,0.193548387,0.006451613,0.303225806,36.94193548,97,3.29,1.256,8.6,0.6,2.7,4.1,1.49,6.961290323,35,3.4,0.713,9,7.258064516,79.74193548,39.44516129,26.58064516,12,0.864516129,1.15483871,0.978,-3,0,97,96,9,0.457,0.465,0,0.51
Oakland Athletics,1972,47,27.7,155,37.7483871,33.5483871,3.9,8.051612903,1.258064516,0.187096774,0.864516129,3.64516129,0.561290323,0.309677419,2.987096774,5.716129032,0.24,0.306,0.366,0.672,104,12.27741935,0.722580645,0.303225806,0.64516129,0.232258065,0.35483871,6.696774194,15,27,2.95,2.58,0.729032258,0.270967742,23,15,0.277419355,9.143225806,7.548387097,2.948387097,2.619354839,0.619354839,2.696774194,0.264516129,5.561290323,0.122580645,0.012903226,0.187096774,36.89032258,111,2.99,1.12,7.4,0.6,2.7,5.5,2.06,6.516129032,45,2.95,0.732,9,6.838709677,82.31612903,39.19354839,27.41935484,10.93548387,0.838709677,0.941935484,0.979,50,5,95,93,18,0.469,0.484,-0.1,0.6
Philadelphia Phillies,1972,38,26.2,156,37.57692308,33.64102564,3.22,7.948717949,1.282051282,0.230769231,0.628205128,3.006410256,0.269230769,0.320512821,3.121794872,5.961538462,0.236,0.302,0.344,0.646,82,11.57692308,0.666666667,0.141025641,0.442307692,0.230769231,0.320512821,7.08974359,16,27,4.07,3.66,0.724358974,0.275641026,13,13,0.096153846,8.974358974,8.448717949,4.070512821,3.653846154,0.75,3.435897436,0.480769231,5.942307692,0.185897436,0.051282051,0.326923077,38.02564103,98,3.37,1.324,8.5,0.8,3.4,6,1.73,7.032051282,38,4.07,0.705,9,6.967948718,80.78205128,38.62179487,26.92307692,10.95512821,0.743589744,0.91025641,0.981,-3,0,102,104,12,0.408,0.429,0.1,0.378
Pittsburgh Pirates,1972,33,28,155,38.85806452,35.41935484,4.46,9.709677419,1.619354839,0.303225806,0.709677419,4.219354839,0.316129032,0.193548387,2.606451613,5.619354839,0.274,0.324,0.397,0.721,106,14.06451613,0.709677419,0.161290323,0.335483871,0.322580645,0.44516129,7.367741935,13,27.9,3.3,2.81,0.748387097,0.251612903,15,9,0.309677419,9.123225806,8.270967742,3.303225806,2.84516129,0.580645161,2.793548387,0.387096774,5.406451613,0.187096774,0.019354839,0.219354839,37.70967742,120,3.02,1.213,8.2,0.6,2.8,5.3,1.94,7.032258065,32,3.3,0.712,9,7.025806452,82.12258065,39.48387097,27.37419355,11.23225806,0.877419355,1.103225806,0.978,17,2,98,97,13,0.523,0.581,-0.1,0.619
San Diego Padres,1972,41,25.1,153,37.58169935,34.07189542,3.19,7.718954248,1.098039216,0.248366013,0.666666667,2.954248366,0.509803922,0.300653595,2.660130719,6.379084967,0.227,0.283,0.332,0.615,81,11.31372549,0.633986928,0.098039216,0.588235294,0.163398693,0.346405229,6.575163399,15,25.2,4.35,3.78,0.745098039,0.254901961,17,15,0.124183007,9.17124183,8.823529412,4.346405229,3.849673203,0.790849673,4.039215686,0.588235294,6.274509804,0.261437908,0.071895425,0.411764706,39.80392157,87,3.56,1.402,8.7,0.8,4,6.2,1.55,7.934640523,40,4.35,0.696,9,7.176470588,82.56862745,39.05882353,27.52287582,10.59477124,0.941176471,0.954248366,0.976,-67,-6,92,95,4,0.404,0.438,0.1,0.379
San Francisco Giants,1972,36,25.6,155,37.79354839,33.83870968,4.27,8.264516129,1.361290323,0.232258065,0.967741935,3.870967742,0.793548387,0.290322581,3.096774194,6.219354839,0.244,0.309,0.384,0.693,95,12.99354839,0.690322581,0.193548387,0.412903226,0.251612903,0.270967742,6.567741935,15,27,4.19,3.69,0.716129032,0.283870968,8,7,0.148387097,8.942580645,8.44516129,4.187096774,3.670967742,0.838709677,3.270967742,0.367741935,4.974193548,0.2,0.038709677,0.341935484,37.98064516,95,3.67,1.31,8.5,0.8,3.3,5,1.52,6.961290323,36,4.19,0.713,9,7.503225806,80.49677419,38.54193548,26.83225806,10.70322581,1.006451613,0.780645161,0.974,-4,0,102,101,11,0.391,0.439,0,0.445
St. Louis Cardinals,1972,47,27.6,156,37.72435897,34.14102564,3.64,8.865384615,1.371794872,0.269230769,0.448717949,3.320512821,0.666666667,0.307692308,2.801282051,5.083333333,0.26,0.317,0.355,0.672,92,12.12179487,0.903846154,0.173076923,0.371794872,0.230769231,0.391025641,7.051282051,22,27.9,3.85,3.42,0.58974359,0.41025641,13,12,0.083333333,8.969230769,8.269230769,3.846153846,3.41025641,0.557692308,3.403846154,0.525641026,5.846153846,0.134615385,0.032051282,0.33974359,37.75,101,3.09,1.301,8.3,0.6,3.4,5.9,1.72,6.987179487,47,3.85,0.702,9,7.314102564,80.75,38.49358974,26.91666667,10.67307692,0.903846154,0.935897436,0.977,-27,-3,99,99,9,0.459,0.436,0,0.481
Texas Rangers,1972,38,26.1,154,36.8961039,32.65584416,2.99,7.090909091,1.077922078,0.11038961,0.363636364,2.753246753,0.818181818,0.474025974,3.266233766,6.012987013,0.217,0.29,0.29,0.581,77,9.480519481,0.649350649,0.194805195,0.545454545,0.220779221,0.266233766,6.707792208,16,25.6,4.08,3.53,0.928571429,0.071428571,8,6,0.220779221,8.923376623,8.168831169,4.077922078,3.5,0.597402597,3.980519481,0.480519481,5.636363636,0.311688312,0.025974026,0.285714286,38.37662338,86,3.45,1.361,8.2,0.6,4,5.7,1.42,7.525974026,38,4.08,0.703,9,6.720779221,80.33766234,38.31168831,26.72727273,10.50649351,1.077922078,0.954545455,0.972,-26,-3,96,98,6,0.404,0.357,0.1,0.351
Atlanta Braves,1973,43,28,162,39.40740741,34.75925926,4.93,9.240740741,1.351851852,0.209876543,1.271604938,4.679012346,0.518518519,0.24691358,3.75308642,5.37037037,0.266,0.339,0.427,0.765,105,14.82716049,0.691358025,0.209876543,0.401234568,0.283950617,0.407407407,7.382716049,21,28.2,4.78,4.25,0.790123457,0.209876543,9,8,0.216049383,9.024691358,9.055555556,4.777777778,4.259259259,0.888888889,3.549382716,0.407407407,4.956790123,0.172839506,0.030864198,0.320987654,38.90123457,94,3.99,1.397,9,0.9,3.5,4.9,1.4,7.049382716,43,4.78,0.7,9,7.074074074,81.22222222,39.2654321,27.07407407,11.16666667,1.024691358,0.87654321,0.974,-5,0,108,108,13,0.348,0.407,0,0.472
Baltimore Orioles,1973,33,28.3,162,39.10493827,34.17901235,4.65,9.098765432,1.413580247,0.296296296,0.734567901,4.271604938,0.901234568,0.395061728,4,4.641975309,0.266,0.345,0.389,0.734,108,13.30864198,0.777777778,0.265432099,0.358024691,0.302469136,0.302469136,7.660493827,12,28.8,3.46,3.07,0.586419753,0.413580247,14,13,0.160493827,9.019753086,8.00617284,3.462962963,3.074074074,0.765432099,2.932098765,0.216049383,4.413580247,0.12345679,0.00617284,0.228395062,36.9691358,121,3.71,1.212,8,0.8,2.9,4.4,1.51,6.438271605,33,3.46,0.731,9,7.172839506,81.2037037,39.62345679,27.06790123,11.82098765,0.734567901,1.135802469,0.981,119,11,99,97,15,0.489,0.556,-0.1,0.599
Boston Red Sox,1973,32,29.5,162,38.41358025,34.0308642,4.56,9.086419753,1.450617284,0.185185185,0.907407407,4.271604938,0.703703704,0.277777778,3.586419753,4.932098765,0.267,0.338,0.401,0.738,103,13.62962963,0.882716049,0.191358025,0.333333333,0.271604938,0.302469136,7.351851852,15,28.3,3.99,3.65,0.586419753,0.413580247,10,9,0.203703704,8.889506173,8.74691358,3.99382716,3.604938272,0.975308642,3.080246914,0.216049383,4.987654321,0.197530864,0.012345679,0.154320988,37.59259259,110,3.98,1.33,8.9,1,3.1,5,1.62,6.925925926,31,3.99,0.709,9,7.654320988,80.01851852,38.09259259,26.67283951,10.63580247,0.783950617,1,0.979,57,5,106,105,17,0.545,0.556,0,0.549
California Angels,1973,40,29.7,162,37.98148148,33.98148148,3.88,8.611111111,1.12962963,0.179012346,0.574074074,3.672839506,0.364197531,0.290123457,3.141975309,5.037037037,0.253,0.318,0.348,0.666,96,11.82098765,0.808641975,0.209876543,0.37037037,0.277777778,0.259259259,7.117283951,14,28.3,4.06,3.53,0.555555556,0.444444444,13,12,0.117283951,8.988271605,8.339506173,4.055555556,3.524691358,0.641975309,3.790123457,0.185185185,6.234567901,0.25308642,0.037037037,0.345679012,38.61111111,99,3.46,1.349,8.3,0.6,3.8,6.2,1.65,7.592592593,40,4.06,0.699,8.99382716,6.808641975,80.86419753,38.37654321,26.9691358,10.44444444,0.962962963,0.944444444,0.975,-49,-4,91,92,14,0.429,0.444,0,0.488
