Tm,Year,#Bat,BatAge,G,PA,AB,R/G,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,#P,PAge,RA/G,ERA,GF,CG,tSho,cSho,SV,IP,H_P,R,ER,HR_P,BB_P,IBB_P,SO_P,HBP_P,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB_P,#Fld,RA/G_F,DefEff,GS,CG_F,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,BPF,PPF,#a-tA-S,1Run,Under500,SOS,W-L%
Chicago Cubs,1979,37,28.5,162,38.16049383,34.25925926,4.36,9.222222222,1.543209877,0.265432099,0.833333333,4.092592593,0.450617284,0.320987654,2.950617284,4.703703704,0.269,0.329,0.403,0.731,91,13.7962963,0.777777778,0.216049383,0.475308642,0.259259259,0.302469136,7.037037037,14,27.7,4.36,3.88,0.87654321,0.12345679,11,5,0.271604938,8.927160494,9.259259259,4.364197531,3.851851852,0.783950617,3.216049383,0.537037037,5.759259259,0.265432099,0.030864198,0.24691358,38.4691358,107,3.75,1.397,9.3,0.8,3.2,5.8,1.79,7.308641975,35,4.36,0.68,9,6.722222222,80.37037037,39.51234568,26.79012346,11.74074074,0.981481481,1.00617284,0.975,-48,-4,110,111,11,0.5,0.407,0,0.494
Chicago White Sox,1979,44,27.1,160,37.85,34.14375,4.59,9.40625,1.8125,0.20625,0.79375,4.25,0.60625,0.3875,2.8375,4.175,0.275,0.333,0.41,0.743,100,14.0125,0.94375,0.225,0.3625,0.28125,0.18125,6.78125,22,25.5,4.7,4.1,0.81875,0.175,9,9,0.23125,8.80625,8.53125,4.675,4.0125,0.7125,3.8625,0.26875,4.21875,0.25,0.04375,0.3125,38.23125,104,4.23,1.407,8.7,0.7,3.9,4.3,1.09,7.1375,44,4.67,0.708,8.94375,6.375,79.25625,38.94375,26.41875,11.44375,1.08125,0.8875,0.972,12,1,100,101,9,0.4,0.238,0,0.459
Cincinnati Reds,1979,35,29.3,161,38.62111801,34.01863354,4.54,8.97515528,1.652173913,0.192546584,0.819875776,4.260869565,0.614906832,0.291925466,3.813664596,5.602484472,0.264,0.338,0.396,0.734,99,13.47204969,0.795031056,0.118012422,0.385093168,0.285714286,0.453416149,7.403726708,14,28.5,4,3.58,0.832298137,0.167701863,10,7,0.248447205,8.944720497,8.788819876,4,3.559006211,0.639751553,3.01242236,0.391304348,4.801242236,0.111801242,0.043478261,0.186335404,37.7826087,105,3.64,1.319,8.8,0.6,3,4.8,1.59,6.944099379,34,4,0.704,9,6.925465839,80.51552795,38.40372671,26.83850932,10.79503106,0.770186335,0.944099379,0.98,6,1,101,101,11,0.5,0.590,-0.1,0.559
Cleveland Indians,1979,33,28.1,161,38.55279503,33.39130435,4.72,8.621118012,1.279503106,0.180124224,0.857142857,4.391304348,0.888198758,0.559006211,4.080745342,4.881987578,0.258,0.34,0.384,0.724,96,12.83229814,0.757763975,0.260869565,0.434782609,0.372670807,0.192546584,7.136645963,14,26.7,5,4.57,0.826086957,0.173913043,7,5,0.198757764,8.889440994,9.329192547,5,4.51552795,0.857142857,3.540372671,0.198757764,4.850931677,0.142857143,0.031055901,0.273291925,38.73291925,94,4.14,1.447,9.4,0.9,3.6,4.9,1.37,7.055900621,33,5,0.693,9,7.062111801,80.0310559,37.70807453,26.67701863,10.19875776,0.832298137,0.925465839,0.978,-38,-4,100,101,8,0.54,0.304,0,0.503
Detroit Tigers,1979,41,26.6,161,37.77018634,33.38509317,4.81,8.98136646,1.372670807,0.217391304,1.01863354,4.527950311,1.093167702,0.534161491,3.571428571,5.055900621,0.269,0.339,0.415,0.754,100,13.8447205,0.869565217,0.136645963,0.347826087,0.322981366,0.173913043,6.565217391,17,26.3,4.61,4.27,0.838509317,0.155279503,5,2,0.229813665,8.839130435,8.875776398,4.583850932,4.198757764,1.037267081,3.397515528,0.347826087,4.98136646,0.298136646,0.02484472,0.316770186,37.95652174,102,4.38,1.388,9,1.1,3.5,5.1,1.47,6.850931677,40,4.58,0.705,8.944099379,6.819875776,79.56521739,38.24223602,26.52173913,10.97515528,0.745341615,1.142857143,0.981,-6,-1,103,103,14,0.458,0.304,0,0.525
Houston Astros,1979,40,27.2,162,37.21604938,33.2962963,3.6,8.530864198,1.382716049,0.320987654,0.302469136,3.345679012,1.172839506,0.586419753,2.845679012,4.598765432,0.256,0.315,0.344,0.659,85,11.46296296,0.648148148,0.135802469,0.672839506,0.265432099,0.462962963,6.913580247,19,28.3,3.59,3.2,0.660493827,0.339506173,19,17,0.191358025,8.933333333,7.888888889,3.592592593,3.172839506,0.555555556,3.111111111,0.148148148,5.271604938,0.148148148,0.030864198,0.339506173,37.12345679,111,3.45,1.231,7.9,0.6,3.1,5.3,1.69,6.722222222,40,3.59,0.719,9,7.00617284,80.42592593,38.19753086,26.80864198,10.53703704,0.851851852,0.901234568,0.978,34,3,94,94,11,0.591,0.593,0,0.549
Kansas City Royals,1979,38,27.9,162,39.19753086,34.89506173,5.25,9.851851852,1.765432099,0.487654321,0.716049383,4.882716049,1.277777778,0.469135802,3.259259259,4.166666667,0.282,0.343,0.422,0.766,104,14.74074074,0.703703704,0.216049383,0.351851852,0.469135802,0.345679012,7.209876543,17,28.9,5.04,4.45,0.740740741,0.259259259,7,7,0.166666667,8.938888889,9.117283951,5.037037037,4.419753086,1.018518519,3.308641975,0.296296296,3.950617284,0.172839506,0.012345679,0.24691358,38.5308642,96,4.5,1.39,9.2,1,3.3,4,1.19,6.672839506,37,5.04,0.711,9,7.12962963,80.46296296,38.69135802,26.82098765,10.9691358,0.901234568,0.987654321,0.977,35,3,102,101,12,0.607,0.315,0,0.525
Los Angeles Dodgers,1979,35,30.4,162,38.19753086,33.88888889,4.56,8.907407407,1.358024691,0.148148148,1.12962963,4.401234568,0.654320988,0.283950617,3.432098765,5.148148148,0.263,0.331,0.412,0.743,103,13.95061728,0.895061728,0.141975309,0.512345679,0.222222222,0.382716049,6.858024691,17,28.3,4.43,3.83,0.814814815,0.185185185,6,5,0.209876543,8.913580247,8.796296296,4.425925926,3.790123457,0.62345679,3.425925926,0.327160494,5.00617284,0.166666667,0.067901235,0.271604938,38.25308642,94,3.73,1.371,8.9,0.6,3.5,5.1,1.46,7.086419753,35,4.43,0.703,9,6.864197531,80.22222222,37.77160494,26.74074074,10.30246914,0.728395062,0.759259259,0.981,-35,-3,99,97,18,0.471,0.481,0,0.488
Milwaukee Brewers,1979,31,27.5,161,38.67701863,34.38509317,5.01,9.639751553,1.807453416,0.254658385,1.149068323,4.757763975,0.621118012,0.329192547,3.409937888,4.627329193,0.28,0.345,0.448,0.793,113,15.40372671,0.807453416,0.124223602,0.447204969,0.310559006,0.298136646,7.093167702,17,26.6,4.48,4.03,0.621118012,0.378881988,12,12,0.142857143,8.939130435,9.708074534,4.48447205,4.00621118,1.00621118,2.366459627,0.149068323,3.602484472,0.124223602,0.00621118,0.298136646,37.92546584,104,4.22,1.35,9.8,1,2.4,3.6,1.52,6.614906832,31,4.48,0.702,9,7.832298137,80.47826087,39.44720497,26.82608696,11.83229814,0.788819876,0.950310559,0.98,6,1,100,99,12,0.559,0.304,0,0.59
Minnesota Twins,1979,36,26.1,162,38.87037037,34.22222222,4.72,9.530864198,1.580246914,0.283950617,0.691358025,4.407407407,0.407407407,0.277777778,3.24691358,4.277777778,0.278,0.341,0.402,0.743,97,13.75308642,0.716049383,0.191358025,0.87654321,0.327160494,0.228395062,7.413580247,16,29.5,4.48,4.13,0.808641975,0.191358025,6,3,0.203703704,8.914197531,9.814814815,4.475308642,4.092592593,0.790123457,2.790123457,0.12962963,4.450617284,0.092592593,0.043209877,0.240740741,38.00617284,106,3.86,1.414,9.9,0.8,2.8,4.5,1.6,6.783950617,34,4.48,0.681,9,6.691358025,80.24074074,39.96296296,26.74691358,12.38888889,0.827160494,1.25308642,0.979,-3,0,104,104,7,0.396,0.315,0,0.506
Montreal Expos,1979,34,27.3,160,37.68125,34.15625,4.38,9.03125,1.70625,0.2625,0.89375,4.06875,0.75625,0.35,2.7,5.5625,0.264,0.319,0.408,0.728,99,13.94375,0.76875,0.16875,0.41875,0.2375,0.425,6.4125,14,28.6,3.63,3.14,0.79375,0.20625,18,13,0.24375,9.044375,8.61875,3.63125,3.15625,0.725,2.8125,0.31875,5.08125,0.14375,0.04375,0.175,37.825,117,3.63,1.264,8.6,0.7,2.8,5.1,1.81,7.05625,33,3.63,0.711,9,7.45625,81.4125,38.6875,27.1375,10.73125,0.81875,0.76875,0.979,30,3,99,98,13,0.527,0.513,0,0.594
New York Mets,1979,39,27.6,163,38.22699387,34.3006135,3.64,8.582822086,1.564417178,0.251533742,0.45398773,3.423312883,0.828220859,0.484662577,3.055214724,5.012269939,0.25,0.313,0.35,0.664,85,12.01226994,0.717791411,0.214723926,0.404907975,0.245398773,0.325153374,7.006134969,20,26.5,4.33,3.84,0.901840491,0.098159509,10,5,0.220858896,9.093251534,9.116564417,4.331288344,3.883435583,0.736196319,3.72392638,0.656441718,5.024539877,0.147239264,0.067484663,0.27607362,39,95,3.96,1.412,9,0.7,3.7,5,1.35,7.380368098,39,4.33,0.697,9,6.871165644,81.86503067,38.99386503,27.28834356,10.84662577,0.858895706,1.030674847,0.978,-33,-3,95,97,11,0.407,0.405,0.1,0.389
New York Yankees,1979,47,30.3,160,37.88125,33.88125,4.59,9.01875,1.4125,0.25,0.9375,4.3375,0.40625,0.2875,3.18125,3.6875,0.266,0.328,0.406,0.733,99,13.74375,0.925,0.1125,0.3125,0.39375,0.3,6.64375,19,31,4.2,3.83,0.73125,0.26875,10,8,0.23125,8.950625,9.0375,4.2,3.8125,0.76875,2.84375,0.1375,4.56875,0.0875,0.00625,0.28125,37.50625,106,3.79,1.327,9.1,0.8,2.9,4.6,1.61,6.45,47,4.2,0.701,9,7.2125,80.56875,39.93125,26.85625,12.3125,0.7625,1.14375,0.981,23,2,98,96,22,0.527,0.306,0,0.556
Oakland Athletics,1979,33,26.2,162,36.85802469,33.01234568,3.54,7.87654321,1.160493827,0.197530864,0.666666667,3.339506173,0.641975309,0.425925926,2.975308642,4.635802469,0.239,0.302,0.346,0.648,80,11.43209877,0.808641975,0.12345679,0.462962963,0.283950617,0.222222222,6.358024691,13,25.4,5.31,4.75,0.74691358,0.25308642,4,3,0.12345679,8.821604938,9.913580247,5.308641975,4.654320988,0.907407407,4.037037037,0.413580247,4.481481481,0.302469136,0.024691358,0.444444444,39.72839506,85,4.53,1.581,10.1,0.9,4.1,4.6,1.11,7.950617284,33,5.31,0.678,9,7.407407407,79.40740741,38.14814815,26.4691358,10.60493827,1.074074074,0.845679012,0.972,-115,-11,94,96,8,0.479,0.235,0.1,0.333
Philadelphia Phillies,1979,38,30.6,163,38.17177914,33.51533742,4.19,8.914110429,1.533742331,0.325153374,0.73006135,3.932515337,0.785276074,0.466257669,3.693251534,4.687116564,0.266,0.34,0.396,0.736,98,13.28834356,0.760736196,0.226993865,0.36809816,0.349693252,0.404907975,7.460122699,17,28.3,4.4,4.16,0.797546012,0.202453988,14,10,0.17791411,8.841104294,8.926380368,4.404907975,4.085889571,0.828220859,2.926380368,0.398773006,4.828220859,0.17791411,0.110429448,0.220858896,37.33742331,92,3.91,1.34,9.1,0.8,3,4.9,1.65,6.404907975,38,4.4,0.703,9,6.773006135,79.58282209,38.2208589,26.52760736,11.04294479,0.650306748,0.90797546,0.983,54,5,103,102,16,0.596,0.515,0.1,0.519
Pittsburgh Pirates,1979,34,29.6,163,38.84662577,34.73006135,4.75,9.45398773,1.619631902,0.319018405,0.90797546,4.355828221,1.104294479,0.404907975,2.963190184,5.245398773,0.272,0.33,0.416,0.746,99,14.43558282,0.693251534,0.196319018,0.601226994,0.343558282,0.625766871,6.920245399,14,29.7,3.94,3.41,0.852760736,0.147239264,7,2,0.319018405,9.160122699,8.736196319,3.944785276,3.472392638,0.766871166,3.09202454,0.472392638,5.54601227,0.190184049,0.055214724,0.319018405,38.47852761,114,3.68,1.291,8.6,0.8,3,5.4,1.79,7.049079755,31,3.94,0.706,9,6.938650307,82.45398773,39.05521472,27.48466258,10.74846626,0.82208589,1,0.979,6,1,105,104,15,0.536,0.515,-0.1,0.605
San Diego Padres,1979,35,27.4,161,38.31677019,33.82608696,3.75,8.173913043,1.198757764,0.329192547,0.577639752,3.472049689,0.621118012,0.360248447,3.316770186,4.782608696,0.242,0.311,0.348,0.659,86,11.76397516,0.645962733,0.198757764,0.701863354,0.267080745,0.50310559,7.229813665,13,29.1,4.23,3.69,0.819875776,0.180124224,7,5,0.155279503,9.02484472,8.931677019,4.229813665,3.701863354,0.670807453,3.186335404,0.422360248,4.838509317,0.142857143,0.055900621,0.142857143,38.26086957,95,3.73,1.343,8.9,0.7,3.2,4.8,1.52,6.956521739,35,4.23,0.701,9,6.614906832,81.22360248,40.01863354,27.07453416,12.06832298,0.875776398,0.956521739,0.978,15,1,93,94,8,0.468,0.484,0,0.422
Seattle Mariners,1979,35,28.6,162,38.31481481,34.22222222,4.39,9.197530864,1.543209877,0.320987654,0.814814815,4.172839506,0.777777778,0.320987654,3.179012346,4.475308642,0.269,0.331,0.404,0.735,96,13.82716049,0.975308642,0.172839506,0.37654321,0.333333333,0.277777778,7.067901235,17,25.5,5.06,4.58,0.771604938,0.228395062,7,5,0.160493827,8.87654321,9.672839506,5.061728395,4.512345679,1.018518519,3.524691358,0.456790123,4.543209877,0.203703704,0.012345679,0.265432099,38.97530864,96,4.46,1.487,9.8,1,3.6,4.6,1.29,7.283950617,33,5.06,0.69,9,6.617283951,79.88888889,39.09876543,26.62962963,11.59876543,0.87037037,1.049382716,0.978,-7,-1,102,104,8,0.442,0.235,0,0.414
San Francisco Giants,1979,36,28.1,162,37.85802469,33.30246914,4.15,8.197530864,1.185185185,0.222222222,0.771604938,3.802469136,0.864197531,0.450617284,3.580246914,5.709876543,0.246,0.319,0.365,0.684,93,12.14197531,0.617283951,0.12345679,0.549382716,0.290123457,0.37654321,6.981481481,16,28.3,4.64,4.16,0.845679012,0.154320988,6,5,0.209876543,8.864197531,9.160493827,4.635802469,4.098765432,0.882716049,3.561728395,0.586419753,5.432098765,0.166666667,0.055555556,0.308641975,38.63580247,85,4.06,1.435,9.3,0.9,3.6,5.5,1.53,7.407407407,36,4.64,0.688,9,6.75308642,79.77777778,38.74691358,26.59259259,11.14814815,1.00617284,0.851851852,0.974,-70,-7,93,94,12,0.412,0.481,0,0.438
St. Louis Cardinals,1979,37,27.4,163,38.93865031,35.17791411,4.48,9.779141104,1.711656442,0.386503067,0.613496933,4.202453988,0.711656442,0.423312883,2.82208589,5.141104294,0.278,0.331,0.401,0.732,98,14.10429448,0.711656442,0.165644172,0.386503067,0.386503067,0.423312883,7.17791411,16,26.4,4.25,3.72,0.766871166,0.233128834,10,7,0.153374233,9.117791411,8.889570552,4.251533742,3.773006135,0.779141104,3.073619632,0.331288344,4.834355828,0.110429448,0.061349693,0.27607362,38.37423313,103,3.83,1.312,8.8,0.8,3,4.8,1.57,6.760736196,37,4.25,0.708,9,6.993865031,82.08588957,40.02453988,27.36196319,11.85276074,0.809815951,1.018404908,0.98,21,2,102,102,11,0.552,0.515,0,0.531
Texas Rangers,1979,39,27.8,162,38.2345679,34.33333333,4.63,9.561728395,1.555555556,0.160493827,0.864197531,4.432098765,0.487654321,0.314814815,2.845679012,3.74691358,0.278,0.334,0.409,0.743,102,14.0308642,0.833333333,0.203703704,0.481481481,0.364197531,0.302469136,7.012345679,16,29.3,4.31,3.86,0.839506173,0.160493827,10,5,0.259259259,8.87037037,8.462962963,4.308641975,3.808641975,0.833333333,3.283950617,0.24691358,4.771604938,0.172839506,0.012345679,0.228395062,37.60493827,108,4.05,1.324,8.6,0.8,3.3,4.8,1.45,6.685185185,38,4.31,0.714,9,6.524691358,79.82716049,38.90740741,26.61111111,11.49382716,0.802469136,0.932098765,0.979,58,5,98,98,16,0.434,0.315,0,0.512
Toronto Blue Jays,1979,39,26.7,162,37.09876543,33.47530864,3.78,8.407407407,1.561728395,0.209876543,0.586419753,3.469135802,0.462962963,0.345679012,2.765432099,4.092592593,0.251,0.311,0.363,0.673,82,12.14814815,0.808641975,0.222222222,0.401234568,0.234567901,0.12962963,6.567901235,19,25.5,5.32,4.82,0.728395062,0.271604938,7,6,0.067901235,8.74691358,9.487654321,5.320987654,4.685185185,1.018518519,3.666666667,0.216049383,3.783950617,0.24691358,0.043209877,0.395061728,38.39506173,89,4.72,1.504,9.8,1,3.8,3.9,1.03,6.833333333,37,5.32,0.694,9,7.487654321,78.72222222,38.81481481,26.24074074,11.59259259,0.981481481,1.154320988,0.975,12,1,100,102,7,0.404,0.222,0.1,0.327
Atlanta Braves,1980,32,26.8,161,37.02484472,33.55279503,3.91,8.397515528,1.403726708,0.136645963,0.894409938,3.708074534,0.453416149,0.322981366,2.695652174,5.583850932,0.25,0.307,0.38,0.687,89,12.75776398,0.770186335,0.124223602,0.428571429,0.204968944,0.304347826,6.546583851,11,29.6,4.1,3.77,0.819875776,0.180124224,9,9,0.229813665,8.869565217,8.677018634,4.099378882,3.714285714,0.813664596,2.819875776,0.304347826,4.322981366,0.161490683,0.043478261,0.223602484,37.44099379,99,3.98,1.296,8.8,0.8,2.9,4.4,1.53,6.732919255,32,4.1,0.71,9,6.714285714,79.82608696,39.72670807,26.60869565,12.11180124,1.00621118,0.968944099,0.975,16,2,103,103,11,0.544,0.441,0,0.503
Baltimore Orioles,1980,34,29.7,162,38.77777778,34.47530864,4.97,9.401234568,1.592592593,0.179012346,0.962962963,4.635802469,0.685185185,0.234567901,3.62345679,4.728395062,0.273,0.342,0.413,0.755,107,14.24074074,0.975308642,0.12962963,0.259259259,0.283950617,0.234567901,7.117283951,12,28.8,3.95,3.64,0.740740741,0.259259259,10,7,0.25308642,9.012345679,8.87654321,3.950617284,3.648148148,0.827160494,3.12962963,0.203703704,4.87037037,0.12962963,0.024691358,0.265432099,37.84567901,109,3.95,1.332,8.9,0.8,3.1,4.9,1.56,6.858024691,34,3.95,0.709,9,6.358024691,81.11111111,38.84567901,27.03703704,11.22222222,0.586419753,1.098765432,0.985,28,3,99,98,14,0.549,0.531,-0.1,0.617
Boston Red Sox,1980,41,29.5,160,38.75,35.01875,4.73,9.925,1.85625,0.225,1.0125,4.48125,0.49375,0.3,2.96875,4.5,0.283,0.34,0.436,0.776,107,15.26875,0.94375,0.2,0.25,0.3125,0.3,7.09375,17,29.5,4.79,4.38,0.8125,0.1875,8,3,0.26875,9.006875,9.73125,4.79375,4.38125,0.80625,3.00625,0.3375,4.35,0.19375,0.0375,0.175,38.7,97,4.02,1.414,9.7,0.8,3,4.3,1.45,6.88125,41,4.79,0.686,9,7.33125,81.075,40.0625,27.025,12.10625,0.93125,1.2875,0.977,9,1,106,105,15,0.521,0.525,0,0.519
California Angels,1980,41,29.1,160,38.3375,34.01875,4.36,9.0125,1.475,0.2,0.6625,4.09375,0.56875,0.39375,3.36875,5.55625,0.265,0.332,0.378,0.71,98,12.875,0.88125,0.2,0.44375,0.30625,0.2375,6.95625,17,27,4.98,4.52,0.8625,0.1375,6,3,0.1875,8.925625,9.675,4.98125,4.48125,0.88125,3.30625,0.21875,4.53125,0.24375,0.05,0.2,39.1,87,4.21,1.454,9.8,0.9,3.3,4.6,1.37,7.3375,40,4.98,0.69,9,7.0375,80.34375,37.46875,26.78125,9.85,0.8375,0.9,0.978,-64,-6,97,97,16,0.467,0.463,0,0.406
Chicago Cubs,1980,34,28.8,162,38.38271605,34.68518519,3.79,8.709876543,1.549382716,0.216049383,0.660493827,3.567901235,0.574074074,0.395061728,2.907407407,5.62962963,0.251,0.309,0.365,0.674,83,12.67283951,0.734567901,0.111111111,0.425925926,0.24691358,0.333333333,6.907407407,12,28,4.49,3.89,0.919753086,0.080246914,6,3,0.216049383,9.12962963,9.413580247,4.49382716,3.944444444,0.672839506,3.635802469,0.524691358,5.697530864,0.172839506,0.104938272,0.240740741,39.51851852,101,3.71,1.429,9.3,0.7,3.6,5.6,1.57,7.635802469,34,4.49,0.68,9,6.160493827,82.16666667,40.99382716,27.38888889,12.5308642,1.074074074,0.919753086,0.974,-52,-5,107,109,9,0.42,0.370,0.1,0.395
Chicago White Sox,1980,39,26.7,162,37.04320988,33.60493827,3.62,8.691358025,1.574074074,0.234567901,0.561728395,3.37654321,0.419753086,0.333333333,2.462962963,4.135802469,0.259,0.311,0.37,0.681,87,12.41975309,0.87654321,0.240740741,0.413580247,0.314814815,0.283950617,6.654320988,14,24.7,4.46,3.92,0.802469136,0.197530864,12,5,0.259259259,8.858641975,8.851851852,4.456790123,3.858024691,0.666666667,3.475308642,0.271604938,4.469135802,0.240740741,0.074074074,0.296296296,38.2654321,104,3.98,1.391,9,0.7,3.5,4.5,1.29,7.228395062,38,4.46,0.699,9,6.654320988,79.74074074,39.50617284,26.58024691,11.87037037,1.055555556,1,0.973,-12,-1,99,100,7,0.5,0.469,0.1,0.438
Cincinnati Reds,1980,34,28.6,163,38.09202454,33.8404908,4.34,8.865030675,1.570552147,0.27607362,0.693251534,4.098159509,0.957055215,0.263803681,3.294478528,5.226993865,0.262,0.327,0.386,0.713,98,13.06748466,0.711656442,0.141104294,0.478527607,0.331288344,0.417177914,7.049079755,15,26,4.11,3.85,0.81595092,0.18404908,12,9,0.226993865,8.951533742,8.613496933,4.110429448,3.828220859,0.693251534,3.104294479,0.36809816,5.110429448,0.079754601,0.116564417,0.214723926,37.68711656,94,3.68,1.309,8.7,0.7,3.1,5.1,1.65,6.717791411,33,4.11,0.71,9,6.920245399,80.57668712,38.12269939,26.85889571,10.61349693,0.650306748,0.883435583,0.983,2,0,101,100,10,0.64,0.442,0,0.549
Cleveland Indians,1980,33,27.7,160,39.11875,34.1875,4.61,9.48125,1.38125,0.25,0.55625,4.325,0.7375,0.3625,3.85625,3.90625,0.277,0.35,0.381,0.731,100,13.03125,1.03125,0.23125,0.375,0.4625,0.31875,7.69375,13,26.8,5.04,4.68,0.78125,0.21875,8,7,0.2,8.925,9.49375,5.04375,4.64375,0.85625,3.45,0.23125,5.26875,0.2,0.025,0.36875,38.88125,88,4.05,1.45,9.6,0.9,3.5,5.3,1.53,7.0625,32,5.04,0.689,9,6.94375,80.325,38.1375,26.775,10.70625,0.65625,0.89375,0.983,-46,-4,101,102,7,0.523,0.444,0,0.494
Detroit Tigers,1980,34,26.4,163,39.53374233,34.65030675,5.09,9.466257669,1.423312883,0.325153374,0.877300613,4.705521472,0.460122699,0.417177914,3.957055215,5.17791411,0.273,0.348,0.409,0.757,106,14.17177914,0.883435583,0.202453988,0.386503067,0.337423313,0.214723926,7.478527607,14,25.6,4.64,4.25,0.754601227,0.245398773,9,9,0.18404908,9.000613497,9.233128834,4.644171779,4.251533742,0.932515337,3.423312883,0.441717791,4.54601227,0.165644172,0.036809816,0.319018405,38.86503067,97,4.28,1.406,9.2,0.9,3.4,4.5,1.33,7.214723926,34,4.64,0.704,9,6.950920245,81.01840491,38.78527607,27.00613497,10.96319018,0.81595092,1.012269939,0.979,-20,-2,102,102,11,0.5,0.528,0,0.519
Houston Astros,1980,33,28.6,163,38.36809816,34.14723926,3.91,8.926380368,1.417177914,0.411042945,0.460122699,3.674846626,1.190184049,0.45398773,3.312883436,4.63190184,0.261,0.326,0.367,0.693,101,12.54601227,0.588957055,0.079754601,0.54601227,0.27607362,0.447852761,7.36196319,13,30.1,3.61,3.1,0.809815951,0.190184049,18,13,0.251533742,9.093251534,8.386503067,3.613496933,3.134969325,0.423312883,2.858895706,0.159509202,5.699386503,0.153374233,0.049079755,0.233128834,37.79141104,106,3.1,1.236,8.3,0.4,2.8,5.6,1.99,6.889570552,32,3.61,0.703,9,6.380368098,81.86503067,39.09202454,27.28834356,10.94478528,0.858895706,0.889570552,0.978,-6,-1,92,91,13,0.55,0.442,0,0.571
Kansas City Royals,1980,37,27.7,162,39.24074074,35.27160494,4.99,10.08024691,1.641975309,0.364197531,0.709876543,4.728395062,1.141975309,0.265432099,3.135802469,4.37654321,0.286,0.345,0.413,0.758,108,14.58024691,0.907407407,0.234567901,0.209876543,0.388888889,0.277777778,7.462962963,15,29.1,4.28,3.83,0.771604938,0.228395062,10,8,0.259259259,9.006790123,9.234567901,4.283950617,3.833333333,0.796296296,2.87037037,0.290123457,3.790123457,0.117283951,0.00617284,0.216049383,38.28395062,105,4.05,1.344,9.2,0.8,2.9,3.8,1.32,6.975308642,36,4.28,0.707,9,6.864197531,81.07407407,39.12962963,27.02469136,11.2345679,0.87037037,0.925925926,0.978,22,2,100,99,12,0.707,0.549,-0.1,0.599
Los Angeles Dodgers,1980,35,30.3,163,38.16564417,34.1595092,4.07,8.969325153,1.282208589,0.147239264,0.90797546,3.914110429,0.754601227,0.441717791,3.018404908,5.190184049,0.263,0.323,0.388,0.711,99,13.26993865,0.662576687,0.147239264,0.588957055,0.251533742,0.319018405,7.196319018,13,28.2,3.63,3.25,0.852760736,0.147239264,19,15,0.257668712,9.03190184,8.331288344,3.625766871,3.257668712,0.644171779,2.944785276,0.294478528,5.122699387,0.073619632,0.09202454,0.196319018,37.52760736,109,3.55,1.248,8.3,0.6,2.9,5.1,1.74,6.797546012,33,3.63,0.715,9,6.668711656,81.31288344,39.08588957,27.10429448,11.22699387,0.754601227,0.914110429,0.981,22,2,99,98,19,0.484,0.442,0,0.564
Milwaukee Brewers,1980,33,28,162,38.5308642,34.89506173,5.01,9.598765432,1.839506173,0.222222222,1.25308642,4.777777778,0.808641975,0.345679012,2.808641975,4.598765432,0.275,0.329,0.448,0.777,114,15.64197531,0.604938272,0.154320988,0.358024691,0.314814815,0.364197531,6.790123457,15,27.3,4.21,3.71,0.703703704,0.296296296,14,12,0.185185185,8.950617284,9.444444444,4.209876543,3.685185185,0.845679012,2.592592593,0.228395062,3.549382716,0.148148148,0.037037037,0.203703704,37.96296296,104,4.11,1.345,9.5,0.9,2.6,3.6,1.37,6.901234568,32,4.21,0.702,9,7.580246914,80.55555556,39.40123457,26.85185185,11.64197531,0.907407407,1.166666667,0.977,25,2,97,96,11,0.353,0.531,-0.1,0.531
Minnesota Twins,1980,36,26.6,161,38.08074534,34.34782609,4.16,9.118012422,1.565217391,0.285714286,0.614906832,3.937888199,0.385093168,0.285714286,2.708074534,4.366459627,0.265,0.319,0.381,0.7,86,13.09937888,0.937888199,0.130434783,0.571428571,0.316770186,0.248447205,6.819875776,14,28.7,4.5,3.93,0.782608696,0.217391304,9,6,0.186335404,9.01242236,9.329192547,4.49689441,3.937888199,0.745341615,2.906832298,0.198757764,4.621118012,0.142857143,0.062111801,0.198757764,38.14906832,111,3.82,1.358,9.3,0.7,2.9,4.6,1.59,6.614906832,36,4.5,0.692,9,6.881987578,81.11180124,40.35403727,27.03726708,12.39751553,0.919254658,1.192546584,0.977,37,3,107,108,7,0.5,0.466,0,0.478
Montreal Expos,1980,37,27.2,162,38.04938272,33.7345679,4.28,8.685185185,1.543209877,0.37654321,0.703703704,3.99382716,1.462962963,0.50617284,3.37654321,5.339506173,0.257,0.324,0.388,0.712,99,13.09259259,0.62962963,0.12345679,0.469135802,0.345679012,0.462962963,6.888888889,16,28.9,3.88,3.48,0.796296296,0.203703704,15,10,0.222222222,8.988888889,8.932098765,3.882716049,3.475308642,0.617283951,2.839506173,0.259259259,5.080246914,0.135802469,0.037037037,0.228395062,38.02469136,103,3.51,1.309,8.9,0.6,2.8,5.1,1.79,7.166666667,37,3.88,0.698,9,7.240740741,80.92592593,38.87654321,26.97530864,11.01234568,0.888888889,0.777777778,0.977,-8,-1,100,99,15,0.55,0.481,0,0.556
